Age,Gender,Neuter_status,Breed_group,Weaning_age,Outdoors,Other_cats,Activity_level,Contact_people,Aggression_stranger,Aggression_owner,Aggression_cats,Shyness_novel,Shyness_strangers,Grooming,Wool_sucking,Behaviour_problem
4.0274,2,1,BEN,8,0,1,4,5,1,1,1,2,1,1.0,0.0,1.0
2.1096,2,1,BEN,8,0,1,5,4,1,1,1,3,3,1.0,0.0,1.0
7.6822,1,1,BUR,4,0,1,4,5,1,1,1,2,1,4.0,3.0,2.0
5.0027,1,1,BUR,4,4,0,5,5,1,1,2,1,1,1.0,0.0,1.0
5.0137,1,1,EUR,4,5,1,4,5,1,1,1,2,1,1.0,0.0,1.0
4.0082,2,1,BUR,4,0,1,3,3,1,1,2,2,2,1.0,0.0,1.0
1.2192,1,1,BEN,6,1,1,5,5,1,1,1,4,3,3.0,0.0,1.0
5.8767,2,0,BRI,6,1,1,3,4,1,1,2,2,2,1.0,0.0,1.0
1.263,2,1,SBI,4,1,1,5,4,1,1,1,3,2,1.0,0.0,1.0
2.4575,2,1,ORI,4,4,1,4,3,1,1,2,4,4,1.0,0.0,2.0
7.9616,2,1,EUR,4,5,1,4,5,1,1,1,1,1,1.0,0.0,1.0
7.6466,2,1,MCO,4,0,1,4,5,1,1,1,4,4,1.0,0.0,1.0
0.9863,1,0,BUR,4,4,1,5,5,1,1,1,1,2,1.0,3.0,1.0
3.9041,1,1,ABY,5,1,1,5,5,1,1,3,2,1,1.0,0.0,1.0
3.5233,1,1,HCS,3,3,1,4,5,1,1,1,4,4,1.0,0.0,1.0
8.7699,2,1,MCO,4,0,1,3,4,1,1,1,1,1,1.0,0.0,1.0
3.5233,2,1,HCS,3,3,1,3,5,1,1,1,3,3,2.0,0.0,1.0
2.8658,1,1,ABY,6,0,1,4,3,1,1,2,1,1,1.0,0.0,1.0
8.3644,2,1,BEN,4,1,1,4,3,1,1,2,1,1,4.0,0.0,1.0
2.9726,1,1,BEN,5,1,0,5,5,1,1,1,1,1,1.0,0.0,1.0
2.5479,1,1,ABY,2,3,1,4,4,1,1,1,1,2,2.0,0.0,1.0
4.1534,2,1,BEN,4,4,1,3,5,1,1,2,3,3,3.0,0.0,1.0
4.3836,2,1,BEN,4,1,1,4,1,1,1,1,1,1,1.0,0.0,1.0
3.9178,2,1,RAG,4,4,1,3,3,1,1,2,2,2,1.0,4.0,1.0
2.9726,1,1,BEN,8,4,1,4,4,1,1,2,4,2,3.0,0.0,2.0
4.1342,1,1,ABY,3,5,1,3,3,1,1,1,2,1,1.0,0.0,1.0
13.6164,2,1,HCS,1,5,1,2,3,4,2,4,4,4,1.0,1.0,2.0
4.1836,1,1,ORI,4,5,1,4,4,1,1,1,2,2,4.0,4.0,1.0
3.2986,1,1,ABY,5,0,1,4,5,1,1,3,2,2,2.0,0.0,1.0
6.1123,2,1,SBI,3,2,0,3,4,1,1,2,2,1,3.0,1.0,1.0
2.0082,2,0,BRI,5,1,1,4,3,1,1,2,2,2,1.0,0.0,1.0
7.6329,2,1,ORI,4,0,1,5,5,1,1,1,2,1,2.0,4.0,1.0
3.7589,1,1,ORI,4,5,1,5,5,1,1,1,3,4,4.0,4.0,2.0
2.0466,2,1,BEN,8,4,1,5,5,1,1,2,4,4,1.0,0.0,2.0
0.8575,1,1,ABY,5,3,1,5,5,1,1,1,1,1,1.0,5.0,1.0
4.8658,2,1,ABY,4,1,1,4,5,1,1,3,3,1,2.0,2.0,1.0
4.8658,2,1,ABY,4,2,1,3,4,1,1,2,2,2,2.0,2.0,1.0
3.5918,1,1,ABY,8,5,1,3,4,1,1,1,2,3,1.0,0.0,1.0
0.8712,2,0,BRI,4,5,1,4,4,1,1,1,2,2,1.0,0.0,1.0
1.5671,2,1,ABY,4,0,1,4,4,1,1,2,2,1,3.0,0.0,1.0
